date,mobile_web,android
2022-02-04 0:00:00,0.04851,0.10964
2022-02-05 0:00:00,0.05084,0.10734
2022-02-06 0:00:00,0.04747,0.10593
2022-02-07 0:00:00,0.04966,0.10607
2022-02-08 0:00:00,0.04772,0.10372
2022-02-09 0:00:00,0.04961,0.10257
2022-02-10 0:00:00,0.04755,0.10398
2022-02-11 0:00:00,0.04728,0.09620
2022-02-12 0:00:00,0.04975,0.10313
2022-02-13 0:00:00,0.04839,0.09981
2022-02-14 0:00:00,0.04923,0.10055
2022-02-15 0:00:00,0.05000,0.10057
2022-02-16 0:00:00,0.04824,0.10248
2022-02-17 0:00:00,0.04507,0.10215
2022-02-18 0:00:00,0.04907,0.09847
2022-02-19 0:00:00,0.04924,0.10115
2022-02-20 0:00:00,0.04899,0.10507
2022-02-21 0:00:00,0.04625,0.10605
2022-02-22 0:00:00,0.04748,0.10290
2022-02-23 0:00:00,0.04970,0.10622
2022-02-24 0:00:00,0.04980,0.10934
2022-02-25 0:00:00,0.05052,0.11077
2022-02-26 0:00:00,0.05165,0.11308
2022-02-27 0:00:00,0.05676,0.11766
2022-02-28 0:00:00,0.05652,0.11325
2022-03-01 0:00:00,0.05486,0.10529
2022-03-02 0:00:00,0.05063,0.11050
2022-03-03 0:00:00,0.05078,0.11273
2022-03-04 0:00:00,0.05433,0.10292
2022-03-05 0:00:00,0.05124,0.10785
2022-03-06 0:00:00,0.05159,0.10755
2022-03-07 0:00:00,0.04817,0.10126
2022-03-08 0:00:00,0.05292,0.10589
2022-03-09 0:00:00,0.05037,0.10279
2022-03-10 0:00:00,0.05130,0.10111
2022-03-11 0:00:00,0.04775,0.10071
2022-03-12 0:00:00,0.05007,0.10623
2022-03-13 0:00:00,0.04864,0.10129
2022-03-14 0:00:00,0.05168,0.10170
2022-03-15 0:00:00,0.04782,0.10128
2022-03-16 0:00:00,0.04869,0.10600
2022-03-17 0:00:00,0.05186,0.10345
2022-03-18 0:00:00,0.05188,0.10142
2022-03-19 0:00:00,0.05135,0.11065
2022-03-20 0:00:00,0.05274,0.10453
2022-03-21 0:00:00,0.05100,0.10461
2022-03-22 0:00:00,0.05038,0.10421
2022-03-23 0:00:00,0.05032,0.11075
2022-03-24 0:00:00,0.05121,0.10620
2022-03-25 0:00:00,0.04819,0.10619
2022-03-26 0:00:00,0.05337,0.11098
2022-03-27 0:00:00,0.04923,0.10857
2022-03-28 0:00:00,0.05011,0.11062
2022-03-29 0:00:00,0.04903,0.10927
2022-03-30 0:00:00,0.04680,0.10628
2022-03-31 0:00:00,0.05138,0.10400
2022-04-01 0:00:00,0.05131,0.11412
2022-04-02 0:00:00,0.05145,0.11634
2022-04-03 0:00:00,0.05249,0.11495
2022-04-04 0:00:00,0.04794,0.11085
2022-04-05 0:00:00,0.04405,0.10043
2022-04-06 0:00:00,0.04525,0.09683
2022-04-07 0:00:00,0.04923,0.10120
2022-04-08 0:00:00,0.04774,0.09631
2022-04-09 0:00:00,0.04789,0.10173
2022-04-10 0:00:00,0.04683,0.10143
2022-04-11 0:00:00,0.04660,0.09893
2022-04-12 0:00:00,0.04630,0.09251
2022-04-13 0:00:00,0.04779,0.09966
2022-04-14 0:00:00,0.04476,0.10053
2022-04-15 0:00:00,0.04515,0.09962
2022-04-16 0:00:00,0.04567,0.09980
2022-04-17 0:00:00,0.04944,0.09979
2022-04-18 0:00:00,0.04600,0.10326
2022-04-19 0:00:00,0.04691,0.10011
2022-04-20 0:00:00,0.04940,0.10250
2022-04-21 0:00:00,0.05132,0.10347
2022-04-22 0:00:00,0.04872,0.10414
2022-04-23 0:00:00,0.05343,0.10871
2022-04-24 0:00:00,0.05661,0.11290
2022-04-25 0:00:00,0.05024,0.11032
2022-04-26 0:00:00,0.05332,0.11490
2022-04-27 0:00:00,0.05142,0.10986
2022-04-28 0:00:00,0.05104,0.11626
2022-04-29 0:00:00,0.05571,0.11953
2022-04-30 0:00:00,0.05447,0.11583
2022-05-01 0:00:00,0.05548,0.12598
2022-05-02 0:00:00,0.05307,0.11414
2022-05-03 0:00:00,0.05957,0.12402
2022-05-04 0:00:00,0.06703,0.13355
2022-05-05 0:00:00,0.06924,0.13279
2022-05-06 0:00:00,0.06612,0.12718
2022-05-07 0:00:00,0.06026,0.12465
2022-05-08 0:00:00,0.05717,0.12544
2022-05-09 0:00:00,0.05737,0.11731
2022-05-10 0:00:00,0.05644,0.11339
2022-05-11 0:00:00,0.05703,0.11182
2022-05-12 0:00:00,0.05663,0.11735
2022-05-13 0:00:00,0.05530,0.11592
2022-05-14 0:00:00,0.06017,0.11928
2022-05-15 0:00:00,0.05551,0.11555
2022-05-16 0:00:00,0.05576,0.11736
2022-05-17 0:00:00,0.05081,0.11008
2022-05-18 0:00:00,0.05101,0.10746
2022-05-19 0:00:00,0.04940,0.11020
2022-05-20 0:00:00,0.05048,0.11097
2022-05-21 0:00:00,0.04868,0.11782
2022-05-22 0:00:00,0.04875,0.11155
2022-05-23 0:00:00,0.05105,0.10732
2022-05-24 0:00:00,0.05368,0.11113
2022-05-25 0:00:00,0.05169,0.10961
2022-05-26 0:00:00,0.05389,0.11051
2022-05-27 0:00:00,0.05568,0.11098
2022-05-28 0:00:00,0.05137,0.11304
2022-05-29 0:00:00,0.05634,0.11336
2022-05-30 0:00:00,0.05030,0.11264
2022-05-31 0:00:00,0.05058,0.10851
2022-06-01 0:00:00,0.05169,0.11220
2022-06-02 0:00:00,0.04955,0.10695
2022-06-03 0:00:00,0.05131,0.10736
2022-06-04 0:00:00,0.05182,0.11135
2022-06-05 0:00:00,0.04972,0.11531
2022-06-06 0:00:00,0.04954,0.10207
2022-06-07 0:00:00,0.04886,0.10463
